beneficiary_id,program,enrollment_date,reporting_period,status,education_level,academic_year,institution,activity,sessions_attended,sessions_expected,participation_rate,course,training_center,training_provider,certification_status,employment_status,skills_acquired
BEN-008725,Scholarship,2025-10-01,Q4 2025,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-008726,Scholarship,2025-09-11,Q3 2025,completed,Master,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008728,Scholarship,2025-07-07,Q3 2025,dropped_out,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-008735,Scholarship,2025-05-23,Q2 2025,completed,Diploma,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-008737,Scholarship,2025-02-28,Q1 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-008740,Scholarship,2025-09-05,Q3 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008741,Scholarship,2026-08-11,Q3 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008745,Scholarship,2026-07-12,Q3 2026,active,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008747,Scholarship,2026-05-23,Q2 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008749,Scholarship,2025-07-02,Q3 2025,completed,Master,2024/2025,Moi University,,,,,,,,,,
BEN-008754,Scholarship,2025-12-30,Q4 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-008755,Scholarship,2026-01-05,Q1 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008759,Scholarship,2025-11-28,Q4 2025,completed,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-008763,Scholarship,2026-06-29,Q2 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-008766,Scholarship,2025-05-17,Q2 2025,dropped_out,Master,2024/2025,Strathmore University,,,,,,,,,,
BEN-008767,Scholarship,2025-10-18,Q4 2025,dropped_out,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008768,Scholarship,2026-08-16,Q3 2026,active,Master,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008769,Scholarship,2025-05-11,Q2 2025,completed,Bachelor,2024/2025,Daystar University,,,,,,,,,,
BEN-008776,Scholarship,2026-08-05,Q3 2026,active,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008784,Scholarship,2025-07-14,Q3 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-008786,Scholarship,2025-10-23,Q4 2025,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-008789,Scholarship,2026-07-01,Q3 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008792,Scholarship,2026-06-03,Q2 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008793,Scholarship,2026-02-03,Q1 2026,completed,Diploma,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-008798,Scholarship,2026-02-05,Q1 2026,completed,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008799,Scholarship,2025-03-12,Q1 2025,completed,Diploma,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-008807,Scholarship,2026-08-25,Q3 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008812,Scholarship,2025-03-20,Q1 2025,completed,Master,2024/2025,Daystar University,,,,,,,,,,
BEN-008821,Scholarship,2026-08-23,Q3 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008822,Scholarship,2026-08-29,Q3 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008823,Scholarship,2025-08-27,Q3 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-008826,Scholarship,2026-09-14,Q3 2026,active,Master,2026/2027,Moi University,,,,,,,,,,
BEN-008828,Scholarship,2026-09-27,Q3 2026,active,Bachelor,2026/2027,Kenyatta University,,,,,,,,,,
BEN-008831,Scholarship,2026-04-06,Q2 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008832,Scholarship,2026-03-30,Q1 2026,active,Master,2025/2026,Daystar University,,,,,,,,,,
BEN-008833,Scholarship,2026-01-13,Q1 2026,completed,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008837,Scholarship,2026-03-24,Q1 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-008838,Scholarship,2025-11-01,Q4 2025,dropped_out,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-008843,Scholarship,2026-01-29,Q1 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008845,Scholarship,2025-04-04,Q2 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008847,Scholarship,2025-01-09,Q1 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-008848,Scholarship,2025-01-27,Q1 2025,completed,Bachelor,2024/2025,Daystar University,,,,,,,,,,
BEN-008849,Scholarship,2026-04-27,Q2 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-008862,Scholarship,2025-08-27,Q3 2025,completed,Bachelor,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-008866,Scholarship,2025-10-06,Q4 2025,completed,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-008867,Scholarship,2026-06-28,Q2 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008868,Scholarship,2026-07-15,Q3 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008871,Scholarship,2025-09-25,Q3 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008876,Scholarship,2026-02-20,Q1 2026,active,Master,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-008878,Scholarship,2025-11-09,Q4 2025,active,Master,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008881,Scholarship,2026-03-19,Q1 2026,completed,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008883,Scholarship,2025-04-20,Q2 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-008885,Scholarship,2025-11-12,Q4 2025,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008888,Scholarship,2025-12-22,Q4 2025,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-008889,Scholarship,2025-10-17,Q4 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-008892,Scholarship,2025-09-26,Q3 2025,dropped_out,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008893,Scholarship,2026-07-11,Q3 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008895,Scholarship,2026-01-10,Q1 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-008896,Scholarship,2026-01-25,Q1 2026,completed,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-008899,Scholarship,2025-07-23,Q3 2025,completed,Diploma,2024/2025,Maseno University,,,,,,,,,,
BEN-008901,Scholarship,2025-01-27,Q1 2025,completed,Bachelor,2024/2025,University of Nairobi,,,,,,,,,,
BEN-008904,Scholarship,2026-07-28,Q3 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008908,Scholarship,2026-07-23,Q3 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-008910,Scholarship,2025-10-27,Q4 2025,active,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008913,Scholarship,2025-11-25,Q4 2025,completed,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008916,Scholarship,2026-06-30,Q2 2026,active,Master,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008917,Scholarship,2025-12-26,Q4 2025,completed,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008920,Scholarship,2025-04-09,Q2 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-008923,Scholarship,2025-11-10,Q4 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008925,Scholarship,2026-09-05,Q3 2026,active,Bachelor,2026/2027,Jomo Kenyatta University,,,,,,,,,,
BEN-008928,Scholarship,2026-05-07,Q2 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-008932,Scholarship,2025-12-18,Q4 2025,completed,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-008933,Scholarship,2025-03-12,Q1 2025,completed,Bachelor,2024/2025,Kenyatta University,,,,,,,,,,
BEN-008934,Scholarship,2026-06-26,Q2 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008936,Scholarship,2026-07-19,Q3 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008937,Scholarship,2026-01-26,Q1 2026,completed,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-008942,Scholarship,2025-11-14,Q4 2025,completed,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008945,Scholarship,2025-01-11,Q1 2025,completed,Diploma,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-008948,Scholarship,2026-07-28,Q3 2026,active,Master,2025/2026,Strathmore University,,,,,,,,,,
BEN-008950,Scholarship,2026-08-11,Q3 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-008955,Scholarship,2026-08-13,Q3 2026,active,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008956,Scholarship,2026-07-22,Q3 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008959,Scholarship,2025-03-21,Q1 2025,completed,Diploma,2024/2025,Daystar University,,,,,,,,,,
BEN-008960,Scholarship,2025-03-17,Q1 2025,completed,Master,2024/2025,Maseno University,,,,,,,,,,
BEN-008962,Scholarship,2025-03-14,Q1 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-008965,Scholarship,2026-08-22,Q3 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008966,Scholarship,2025-07-13,Q3 2025,completed,Diploma,2024/2025,University of Nairobi,,,,,,,,,,
BEN-008970,Scholarship,2025-04-30,Q2 2025,completed,Diploma,2024/2025,Daystar University,,,,,,,,,,
BEN-008971,Scholarship,2025-09-28,Q3 2025,completed,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-008972,Scholarship,2026-01-18,Q1 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008975,Scholarship,2026-05-24,Q2 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-008978,Scholarship,2026-02-06,Q1 2026,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-008984,Scholarship,2025-11-12,Q4 2025,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-008985,Scholarship,2026-07-04,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-008988,Scholarship,2026-03-24,Q1 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008991,Scholarship,2026-01-09,Q1 2026,completed,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-008993,Scholarship,2026-02-19,Q1 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-008994,Scholarship,2026-05-28,Q2 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-008996,Scholarship,2026-04-12,Q2 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-009000,Scholarship,2026-08-09,Q3 2026,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009002,Scholarship,2025-11-21,Q4 2025,dropped_out,Master,2025/2026,Moi University,,,,,,,,,,
BEN-009008,Scholarship,2025-11-26,Q4 2025,completed,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009011,Scholarship,2026-04-09,Q2 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009013,Scholarship,2026-03-10,Q1 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009017,Scholarship,2026-08-03,Q3 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-009018,Scholarship,2025-04-09,Q2 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-009019,Scholarship,2025-05-13,Q2 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-009023,Scholarship,2026-07-24,Q3 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-009027,Scholarship,2026-06-14,Q2 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-009028,Scholarship,2025-12-20,Q4 2025,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009029,Scholarship,2026-08-13,Q3 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-009031,Scholarship,2025-11-15,Q4 2025,completed,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009032,Scholarship,2026-07-09,Q3 2026,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009033,Scholarship,2026-09-09,Q3 2026,active,Bachelor,2026/2027,Daystar University,,,,,,,,,,
BEN-009034,Scholarship,2025-03-05,Q1 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-009036,Scholarship,2025-05-11,Q2 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009042,Scholarship,2026-02-04,Q1 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009046,Scholarship,2025-08-23,Q3 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-009052,Scholarship,2026-09-30,Q3 2026,active,Master,2026/2027,University of Nairobi,,,,,,,,,,
BEN-009053,Scholarship,2026-08-12,Q3 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009056,Scholarship,2025-01-20,Q1 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-009059,Scholarship,2025-12-23,Q4 2025,completed,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-009062,Scholarship,2026-09-04,Q3 2026,active,Master,2026/2027,Mount Kenya University,,,,,,,,,,
BEN-009067,Scholarship,2026-07-20,Q3 2026,active,Diploma,2025/2026,Daystar University,,,,,,,,,,
BEN-009071,Scholarship,2026-04-17,Q2 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009074,Scholarship,2026-09-06,Q3 2026,active,Bachelor,2026/2027,Maseno University,,,,,,,,,,
BEN-009075,Scholarship,2025-11-01,Q4 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-009087,Scholarship,2026-01-24,Q1 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009088,Scholarship,2025-12-31,Q4 2025,completed,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-009090,Scholarship,2026-07-03,Q3 2026,active,Master,2025/2026,Strathmore University,,,,,,,,,,
BEN-009096,Scholarship,2026-02-04,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009098,Scholarship,2026-08-22,Q3 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009103,Scholarship,2025-08-04,Q3 2025,completed,Master,2024/2025,University of Nairobi,,,,,,,,,,
BEN-009104,Scholarship,2025-10-07,Q4 2025,completed,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-009108,Scholarship,2025-10-12,Q4 2025,completed,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-009113,Scholarship,2026-01-14,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009114,Scholarship,2026-01-11,Q1 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009117,Scholarship,2026-05-24,Q2 2026,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-009120,Scholarship,2025-06-03,Q2 2025,completed,Bachelor,2024/2025,Maseno University,,,,,,,,,,
BEN-009121,Scholarship,2026-04-21,Q2 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-009125,Scholarship,2026-03-24,Q1 2026,active,Bachelor,2025/2026,Strathmore University,,,,,,,,,,
BEN-009136,Scholarship,2026-07-04,Q3 2026,active,Master,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009141,Scholarship,2026-06-10,Q2 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009144,Scholarship,2025-08-26,Q3 2025,completed,Bachelor,2024/2025,Kenyatta University,,,,,,,,,,
BEN-009146,Scholarship,2025-01-06,Q1 2025,completed,Diploma,2024/2025,Moi University,,,,,,,,,,
BEN-009149,Scholarship,2026-05-21,Q2 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009150,Scholarship,2025-08-05,Q3 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009152,Scholarship,2025-01-13,Q1 2025,dropped_out,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-009157,Scholarship,2025-10-31,Q4 2025,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-009159,Scholarship,2025-08-10,Q3 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-009160,Scholarship,2026-09-02,Q3 2026,active,Bachelor,2026/2027,Africa Nazarene University,,,,,,,,,,
BEN-009165,Scholarship,2026-05-21,Q2 2026,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-009166,Scholarship,2025-04-15,Q2 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009168,Scholarship,2025-03-06,Q1 2025,completed,Bachelor,2024/2025,Jomo Kenyatta University,,,,,,,,,,
BEN-009170,Scholarship,2025-10-07,Q4 2025,completed,Master,2025/2026,Moi University,,,,,,,,,,
BEN-009172,Scholarship,2026-05-15,Q2 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009174,Scholarship,2026-02-13,Q1 2026,completed,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009175,Scholarship,2026-08-21,Q3 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-009176,Scholarship,2025-07-08,Q3 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009177,Scholarship,2026-03-24,Q1 2026,active,Bachelor,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009179,Scholarship,2026-04-17,Q2 2026,active,Bachelor,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-009181,Scholarship,2026-06-26,Q2 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009182,Scholarship,2025-07-03,Q3 2025,completed,Diploma,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-009186,Scholarship,2025-07-25,Q3 2025,completed,Bachelor,2024/2025,Daystar University,,,,,,,,,,
BEN-009189,Scholarship,2026-09-06,Q3 2026,active,Bachelor,2026/2027,Mount Kenya University,,,,,,,,,,
BEN-009190,Scholarship,2026-05-19,Q2 2026,active,Master,2025/2026,Daystar University,,,,,,,,,,
BEN-009196,Scholarship,2025-06-15,Q2 2025,completed,Bachelor,2024/2025,Maseno University,,,,,,,,,,
BEN-009200,Scholarship,2025-06-25,Q2 2025,completed,Master,2024/2025,Strathmore University,,,,,,,,,,
BEN-009201,Scholarship,2026-06-28,Q2 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009203,Scholarship,2025-12-01,Q4 2025,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009206,Scholarship,2026-09-08,Q3 2026,active,Bachelor,2026/2027,Daystar University,,,,,,,,,,
BEN-009210,Scholarship,2026-09-29,Q3 2026,active,Diploma,2026/2027,Jomo Kenyatta University,,,,,,,,,,
BEN-009212,Scholarship,2025-11-14,Q4 2025,dropped_out,Master,2025/2026,Moi University,,,,,,,,,,
BEN-009215,Scholarship,2026-04-06,Q2 2026,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009219,Scholarship,2026-09-07,Q3 2026,active,Diploma,2026/2027,Africa Nazarene University,,,,,,,,,,
BEN-009221,Scholarship,2026-05-20,Q2 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009223,Scholarship,2025-08-23,Q3 2025,completed,Bachelor,2024/2025,University of Nairobi,,,,,,,,,,
BEN-009239,Scholarship,2025-07-18,Q3 2025,completed,Diploma,2024/2025,Maseno University,,,,,,,,,,
BEN-009240,Scholarship,2025-12-08,Q4 2025,active,Diploma,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009241,Scholarship,2025-04-02,Q2 2025,completed,Diploma,2024/2025,University of Nairobi,,,,,,,,,,
BEN-009242,Scholarship,2026-04-27,Q2 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-009243,Scholarship,2026-04-06,Q2 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009244,Scholarship,2025-11-01,Q4 2025,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-009246,Scholarship,2025-08-22,Q3 2025,completed,Bachelor,2024/2025,University of Nairobi,,,,,,,,,,
BEN-009249,Scholarship,2026-05-19,Q2 2026,active,Master,2025/2026,Maseno University,,,,,,,,,,
BEN-009250,Scholarship,2025-02-16,Q1 2025,completed,Master,2024/2025,Daystar University,,,,,,,,,,
BEN-009252,Scholarship,2025-11-20,Q4 2025,active,Diploma,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009254,Scholarship,2026-08-11,Q3 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009256,Scholarship,2025-11-05,Q4 2025,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009257,Scholarship,2025-10-24,Q4 2025,completed,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009259,Scholarship,2025-02-04,Q1 2025,completed,Diploma,2024/2025,Kenyatta University,,,,,,,,,,
BEN-009260,Scholarship,2025-09-24,Q3 2025,completed,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009261,Scholarship,2026-04-14,Q2 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-009267,Scholarship,2025-11-08,Q4 2025,active,Diploma,2025/2026,Strathmore University,,,,,,,,,,
BEN-009269,Scholarship,2025-08-30,Q3 2025,completed,Bachelor,2024/2025,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009271,Scholarship,2025-11-03,Q4 2025,active,Master,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009273,Scholarship,2025-05-30,Q2 2025,completed,Bachelor,2024/2025,Strathmore University,,,,,,,,,,
BEN-009274,Scholarship,2026-02-25,Q1 2026,active,Master,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-009277,Scholarship,2025-02-20,Q1 2025,completed,Bachelor,2024/2025,Mount Kenya University,,,,,,,,,,
BEN-009283,Scholarship,2026-03-22,Q1 2026,completed,Master,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009292,Scholarship,2025-12-02,Q4 2025,active,Bachelor,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009298,Scholarship,2026-07-01,Q3 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-009304,Scholarship,2026-06-06,Q2 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
BEN-009313,Scholarship,2026-03-16,Q1 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-009314,Scholarship,2026-03-08,Q1 2026,active,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-009316,Scholarship,2026-05-16,Q2 2026,active,Bachelor,2025/2026,Maseno University,,,,,,,,,,
BEN-009318,Scholarship,2026-03-22,Q1 2026,completed,Bachelor,2025/2026,Daystar University,,,,,,,,,,
BEN-009320,Scholarship,2026-01-13,Q1 2026,active,Bachelor,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009322,Scholarship,2026-07-28,Q3 2026,active,Bachelor,2025/2026,Kenyatta University,,,,,,,,,,
BEN-009323,Scholarship,2025-04-21,Q2 2025,completed,Diploma,2024/2025,Strathmore University,,,,,,,,,,
BEN-009324,Scholarship,2025-11-15,Q4 2025,completed,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009327,Scholarship,2026-08-13,Q3 2026,active,Master,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009331,Scholarship,2026-06-03,Q2 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009333,Scholarship,2026-08-17,Q3 2026,active,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009338,Scholarship,2026-07-23,Q3 2026,active,Master,2025/2026,Jomo Kenyatta University,,,,,,,,,,
BEN-009340,Scholarship,2026-07-21,Q3 2026,active,Diploma,2025/2026,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009343,Scholarship,2025-12-11,Q4 2025,dropped_out,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009345,Scholarship,2025-05-25,Q2 2025,dropped_out,Bachelor,2024/2025,Daystar University,,,,,,,,,,
BEN-009350,Scholarship,2025-01-10,Q1 2025,completed,Master,2024/2025,Moi University,,,,,,,,,,
BEN-009351,Scholarship,2025-02-06,Q1 2025,completed,Diploma,2024/2025,Daystar University,,,,,,,,,,
BEN-009359,Scholarship,2026-04-10,Q2 2026,active,Master,2025/2026,Strathmore University,,,,,,,,,,
BEN-009360,Scholarship,2025-05-10,Q2 2025,completed,Diploma,2024/2025,Maseno University,,,,,,,,,,
BEN-009364,Scholarship,2025-05-22,Q2 2025,completed,Bachelor,2024/2025,Moi University,,,,,,,,,,
BEN-009365,Scholarship,2026-08-15,Q3 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009369,Scholarship,2025-12-03,Q4 2025,completed,Diploma,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009370,Scholarship,2026-06-18,Q2 2026,active,Bachelor,2025/2026,Africa Nazarene University,,,,,,,,,,
BEN-009380,Scholarship,2025-04-15,Q2 2025,completed,Diploma,2024/2025,Africa Nazarene University,,,,,,,,,,
BEN-009383,Scholarship,2026-04-26,Q2 2026,active,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009386,Scholarship,2025-10-04,Q4 2025,completed,Diploma,2025/2026,Mount Kenya University,,,,,,,,,,
BEN-009389,Scholarship,2026-09-04,Q3 2026,active,Bachelor,2026/2027,Africa Nazarene University,,,,,,,,,,
BEN-009395,Scholarship,2026-09-25,Q3 2026,active,Bachelor,2026/2027,Catholic University of Eastern Africa,,,,,,,,,,
BEN-009399,Scholarship,2026-02-08,Q1 2026,active,Master,2025/2026,Daystar University,,,,,,,,,,
BEN-009400,Scholarship,2026-05-24,Q2 2026,active,Diploma,2025/2026,Moi University,,,,,,,,,,
BEN-009404,Scholarship,2025-09-05,Q3 2025,completed,Master,2025/2026,University of Nairobi,,,,,,,,,,
BEN-009409,Scholarship,2026-06-28,Q2 2026,active,Bachelor,2025/2026,Moi University,,,,,,,,,,
